Date,Year-month-day hour:minute:second 
Appliances,Energy use in Wh 
lights,Energy use of light fixtures in the house in Wh 
T1,Temperature in kitchen area in Celsius 
RH_1,Humidity in kitchen area in % 
T2,Temperature in living room area in Celsius 
RH_2,Humidity in living room area in % 
T3,Temperature in laundry room area 
RH_3,Humidity in laundry room area in % 
T4,Temperature in office room in Celsius 
RH_4,Humidity in office room in % 
T5,Temperature in bathroom in Celsius 
RH_5,Humidity in bathroom in % 
T6,Temperature outside north side of building in Celsius 
RH_6,Humidity outside north side of building in %
T7,Temperature in ironing room in Celsius 
RH_7,Humidity in ironing room in % 
T8,Temperature in teenager room 2 in Celsius 
RH_8,Humidity in teenager room 2 in % 
T9,Temperature in parents room in Celsius 
RH_9,Humidity in parents room in % 
To,Temperature outside in Celsius - Chievres weather station
Pressure,In mm Hg - Chievres weather station
RH_out,Humidity outside in % - Chievres weather station
Wind speed,In m/s - Chievres weather station
Visibility,In km - Chievres weather station
Tdewpoint,Â°C - Chievres weather station
rv1,Random variable 1 nondimensional 
rv2,Random variable 2 nondimensional 